month,year,year_month,category,item,quantity,priority,vat,cost
June,2018,2018-06,food,Apples,1.5kg,no,no,17.82
June,2018,2018-06,food,Apricot jam,900g x2,no,yes,49.31
June,2018,2018-06,food,Bananas,4kg,no,no,42.63
June,2018,2018-06,food,Beef,2kg,no,yes,152.98
June,2018,2018-06,food,Beef livers,2kg,no,yes,
June,2018,2018-06,food,Brown bread,25 loaves,no,no,226.54
June,2018,2018-06,food,Butternut,10kg,no,no,40.94
June,2018,2018-06,food,Cabbage,2 heads,no,no,25.32
June,2018,2018-06,food,Cake Flour,10kg,yes,yes,70.82
June,2018,2018-06,food,Canned beans,410g x6,no,yes,55.48
June,2018,2018-06,food,Carrots,5kg,no,no,33.00
June,2018,2018-06,food,Chicken feet,5kg,no,yes,155.97
June,2018,2018-06,food,Chicken livers,2kg,no,yes,
June,2018,2018-06,food,Cooking oil,5L,yes,no,72.66
June,2018,2018-06,food,Cremora,800g,no,yes,32.49
June,2018,2018-06,food,Curry powder,200g,yes,yes,26.99
June,2018,2018-06,food,Eggs,60 eggs,no,no,97.99
June,2018,2018-06,food,Fish,2kg,no,yes,
June,2018,2018-06,food,Frozen chicken portions,10kg,yes,yes,327.98
June,2018,2018-06,food,Full cream milk,6L,no,yes,
June,2018,2018-06,food,Gizzards,2kg,no,yes,55.99
June,2018,2018-06,food,Green pepper,2kg,no,yes,
June,2018,2018-06,food,Inyama yangapakhathi,2kg,no,yes,49.44
June,2018,2018-06,food,Maas,4L,no,no,40.83
June,2018,2018-06,food,Maize meal,35kg,yes,no,227.49
June,2018,2018-06,food,Margarine,1kg x2,no,yes,62.98
June,2018,2018-06,food,Onions,10kg,yes,no,64.75
June,2018,2018-06,food,Oranges,7kg,no,yes,
June,2018,2018-06,food,Peanut butter,400g x2,no,yes,49.31
June,2018,2018-06,food,Polony,2.5kg,no,yes,50.82
June,2018,2018-06,food,Potatoes,10kg,yes,no,50.94
June,2018,2018-06,food,Rice,10kg,yes,no,74.32
June,2018,2018-06,food,Salt,1kg,yes,yes,13.74
June,2018,2018-06,food,Samp,5kg,yes,no,30.99
June,2018,2018-06,food,Soup,400g x2,yes,yes,24.98
June,2018,2018-06,food,Spinach,8 bunches,no,no,51.92
June,2018,2018-06,food,Stock cubes,24 cubes x2,yes,yes,32.31
June,2018,2018-06,food,Sugar beans,5kg,yes,no,96.82
June,2018,2018-06,food,Tea,250g,yes,yes,23.49
June,2018,2018-06,food,Tinned pilchards,400g x6,no,no,87.32
June,2018,2018-06,food,Tomatoes,6kg,no,no,76.58
June,2018,2018-06,food,Total,44 items,n/a,yes,3050.58
June,2018,2018-06,food,White bread,25 loaves,no,yes,247.00
June,2018,2018-06,food,White sugar,10kg,yes,yes,128.66
June,2018,2018-06,food,Wors,2kg,no,yes,80.98
July,2018,2018-07,food,Apples,1.5kg,no,no,14.83
July,2018,2018-07,food,Apricot jam,900g x2,no,yes,46.65
